grh_name(synthetic),std_degree,std_core,avg_core,nodes,density,max_degree,avg_degree,mxc_std_degree,mxc_nodes,mxc_edges,mxc_density,mxc_max_degree,mxc_avg_degree,R,min_core,degeneracy,upper_bound,edge,sub_edge,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,best_label
small_world_graph_m_35,2.479527859,0.09438149205,26.99857001,100001,0.00034,46,34.0,2.467941653,99903,1697497,0.00034,46,33.982903,3,0,27,60,1700000,1700000,1215.5,1198.07,1192.79,1224.16,1240.28,1216.67,1225.54,1235.95,6
small_world_graph_m_36_2nd_time,2.552938969,0.08075884955,28.99827501,200001,0.00018,49,36.0,2.540445153,199746,3592950,0.00018,49,35.975188,3,0,29,64,3600000,3600000,4966.35,4885.13,5019.35,4853.14,4890.39,4884.84,5225.89,4871.55,8
small_world_graph_m_36,2.559397266,0.09170342965,27.99937001,100001,0.00036,49,36.0,2.553173438,99974,1799307,0.00036,49,35.995499,3,0,28,62,1800000,1800000,2372.03,2375.26,2518.23,2365.77,2091.9,2175.71,2197.78,2160.56,5
small_world_graph_m_37_2nd_time,2.549264104,0.07725102053,28.99850001,200001,0.00018,50,36.0,2.537804263,199768,3593544,0.00018,50,35.977174,3,0,29,64,3600000,3600000,5021.44,4927.15,5009.22,5008.21,6858.94,4827.17,5066.66,4927.31,6
small_world_graph_m_37,2.552969779,0.1016223787,28.99833002,100001,0.00036,48,36.0,2.540264329,99887,1796861,0.00036,48,35.977875,3,0,29,64,1800000,1800000,2435.85,2401.77,2503.46,2448.95,2456.07,2458.63,2517.26,2363.8,8
small_world_graph_m_38_2nd_time,2.6134452,0.07081446676,29.999465,200001,0.00019,50,38.0,2.608179989,199934,3798098,0.00019,50,37.993518,3,0,30,66,3800000,3800000,5964.78,5973.93,7040.32,7484.15,6015.08,7119.23,5901.86,7228.9,7
small_world_graph_m_38,2.627460907,0.1144725474,30.99757002,100001,0.00038,50,38.0,2.610670562,99838,1895191,0.00038,50,37.965324,3,0,31,68,1900000,1900000,3390.99,3231.01,3205.43,3139.73,3304.92,3075.76,3248.24,3199.55,6
small_world_graph_m_39_2nd_time,2.618733601,0.08815132185,30.99792501,200001,0.00019,51,38.0,2.604512298,199698,3791026,0.00019,51,37.967591,3,0,31,68,3800000,3800000,6924.21,7181.62,7680.85,7812.99,6746.89,7613.52,7077.99,7619.41,5
small_world_graph_m_39,2.617649964,0.1108841625,30.99786002,100001,0.00038,50,38.0,2.602409008,99850,1895534,0.00038,50,37.967631,3,0,31,68,1900000,1900000,4584.67,4627.83,4667.13,4445.92,4450.89,4684.03,4687.19,4621.41,5
small_world_graph_m_40_2nd_time,2.676051971,0.100897359,32.99689002,200001,0.0002,53,40.0,2.658239048,199555,3985912,0.0002,53,39.948004,3,0,33,73,4000000,4000000,10413.24,10241.88,10838.92,10376.73,9942.93,10280.26,9680.26,10251.96,7
